,head_eo_model_id,Самосвалы CAT 785C,eo_code,counter_current,motohour_coef
140,65,Самосвалы CAT 785C,100000065606,89818.114,1.087766132200037
141,65,Самосвалы CAT 785C,100000065606,89806.114,1.088274183348152
142,65,Самосвалы CAT 785C,100000065606,89794.114,1.088788150646748
143,65,Самосвалы CAT 785C,100000065606,89782.714,1.0889892550132763
144,65,Самосвалы CAT 785C,100000065606,89770.714,1.0895133359867708
145,65,Самосвалы CAT 785C,100000065606,89759.294,1.0897315993045114
146,65,Самосвалы CAT 785C,100000065606,89748.594,1.0895629691484028
147,65,Самосвалы CAT 785C,100000065606,89748.594,1.0836090731421273
148,65,Самосвалы CAT 785C,100000065606,89736.594,1.084109854468737
149,65,Самосвалы CAT 785C,100000065606,89725.234,1.0842682218553372
150,65,Самосвалы CAT 785C,100000065606,89644.731,1.0859876209965997
151,65,Самосвалы CAT 785C,100000065606,89633.281,1.0862163149269493
152,65,Самосвалы CAT 785C,100000065606,89621.281,1.0867642494812453
153,65,Самосвалы CAT 785C,100000065606,89609.721,1.0870642550892184
154,65,Самосвалы CAT 785C,100000065606,89597.721,1.0876245700182443
155,65,Самосвалы CAT 785C,100000065606,89585.721,1.0881921436413622
156,65,Самосвалы CAT 785C,100000065606,89573.721,1.088767117929125
157,65,Самосвалы CAT 785C,100000065606,89562.271,1.0890220887793611
158,65,Самосвалы CAT 785C,100000065606,89550.271,1.0896099636576617
159,65,Самосвалы CAT 785C,100000065606,89538.271,1.0902056544446992
160,65,Самосвалы CAT 785C,100000065606,89526.271,1.0908093180545735
161,65,Самосвалы CAT 785C,100000065606,89514.271,1.09142111563001
162,65,Самосвалы CAT 785C,100000065606,89502.271,1.092041212685772
163,65,Самосвалы CAT 785C,100000065606,89490.271,1.092669779257947
164,65,Самосвалы CAT 785C,100000065606,89478.271,1.0933069900593935
165,65,Самосвалы CAT 785C,100000065606,89466.271,1.0939530246416445
166,65,Самосвалы CAT 785C,100000065606,89454.271,1.0946080675635856
167,65,Самосвалы CAT 785C,100000065606,89442.271,1.095272308567236
168,65,Самосвалы CAT 785C,100000065606,89430.271,1.095945942760989
169,65,Самосвалы CAT 785C,100000065606,89418.271,1.0966291708106815
170,65,Самосвалы CAT 785C,100000065606,89407.271,1.096666754272587
171,65,Самосвалы CAT 785C,100000065606,89395.791,1.097021442438856
172,65,Самосвалы CAT 785C,100000065606,89383.791,1.0977267605429064
173,65,Самосвалы CAT 785C,100000065606,89372.401,1.0980336657121945
174,65,Самосвалы CAT 785C,100000065606,89360.401,1.0987565860870907
175,65,Самосвалы CAT 785C,100000065606,89348.951,1.0991160037726433
176,65,Самосвалы CAT 785C,100000065606,89336.951,1.0998575921348976
177,65,Самосвалы CAT 785C,100000065606,89325.391,1.1003062267786403
178,65,Самосвалы CAT 785C,100000065606,89318.321,1.0976435989084175
179,65,Самосвалы CAT 785C,100000065606,89311.781,1.0945895099304865
180,65,Самосвалы CAT 785C,100000065606,89299.781,1.095314021934366
181,65,Самосвалы CAT 785C,100000065606,89288.251,1.095718467228758
182,65,Самосвалы CAT 785C,100000065606,89276.251,1.096462805804254
183,65,Самосвалы CAT 785C,100000065606,89264.251,1.0972188115552814
184,65,Самосвалы CAT 785C,100000065606,89252.251,1.0979867609653855
185,65,Самосвалы CAT 785C,100000065606,89242.471,1.0971508529420329
186,65,Самосвалы CAT 785C,100000065606,89232.471,1.096464901118073
187,65,Самосвалы CAT 785C,100000065606,89222.497,1.0957506093098521
188,65,Самосвалы CAT 785C,100000065606,89210.497,1.0965283371350834
189,65,Самосвалы CAT 785C,100000065606,89199.497,1.0965704894332344
190,65,Самосвалы CAT 785C,100000065606,89187.497,1.097367281128171
191,65,Самосвалы CAT 785C,100000065606,89175.497,1.0981773306803295
192,65,Самосвалы CAT 785C,100000065606,89163.497,1.0990009717629463
193,65,Самосвалы CAT 785C,100000065606,89152.007,1.0994432306716515
194,65,Самосвалы CAT 785C,100000065606,89140.517,1.0998927107239511
195,65,Самосвалы CAT 785C,100000065606,89129.067,1.1003180606894245
196,65,Самосвалы CAT 785C,100000065606,89117.067,1.1011878956039256
197,65,Самосвалы CAT 785C,100000065606,89105.067,1.1020729467331474
198,65,Самосвалы CAT 785C,100000065606,89093.067,1.102973616871091
199,65,Самосвалы CAT 785C,100000065606,89081.067,1.1038903231549964
200,65,Самосвалы CAT 785C,100000065606,88927.257,1.1154377590754985
201,65,Самосвалы CAT 785C,100000065606,88915.257,1.1166095673137981
202,65,Самосвалы CAT 785C,100000065606,88903.257,1.1178054095628822
203,65,Самосвалы CAT 785C,100000065606,88899.277,1.1113302520215766
204,65,Самосвалы CAT 785C,100000065606,88890.197,1.1096803187306121
205,65,Самосвалы CAT 785C,100000065606,88878.197,1.1108297164415057
206,65,Самосвалы CAT 785C,100000065606,88866.197,1.1120034595663222
207,65,Самосвалы CAT 785C,100000065606,88855.197,1.112210250514668
208,65,Самосвалы CAT 785C,100000065606,88843.197,1.1134232359538452
209,65,Самосвалы CAT 785C,100000065606,88839.057,1.106740811067411
210,65,Самосвалы CAT 785C,100000065606,88837.747,1.097190034762457
211,65,Самосвалы CAT 785C,100000065606,88825.747,1.098257431541954
212,65,Самосвалы CAT 785C,100000065606,88813.747,1.0993485342019549
213,65,Самосвалы CAT 785C,100000065606,88801.747,1.1004641413385243
214,65,Самосвалы CAT 785C,100000065606,88789.747,1.1016050878255608
215,65,Самосвалы CAT 785C,100000065606,88789.747,1.090248334342823
216,65,Самосвалы CAT 785C,100000065606,88789.747,1.0788915808600854
217,65,Самосвалы CAT 785C,100000065606,88789.747,1.0675348273773477
218,65,Самосвалы CAT 785C,100000065606,88789.747,1.0561780738946098
219,65,Самосвалы CAT 785C,100000065606,88785.787,1.0487517574191656
220,65,Самосвалы CAT 785C,100000065606,88773.787,1.0493139101356876
221,65,Самосвалы CAT 785C,100000065606,88761.787,1.049889178364513
222,65,Самосвалы CAT 785C,100000065606,88749.787,1.0504780265176923
223,65,Самосвалы CAT 785C,100000065606,88739.937,1.0488364470665337
224,65,Самосвалы CAT 785C,100000065606,88732.937,1.0441775101767283
225,65,Самосвалы CAT 785C,100000065606,88721.937,1.043657656017716
226,65,Самосвалы CAT 785C,100000065606,88709.937,1.0441939743865343
227,65,Самосвалы CAT 785C,100000065606,88697.937,1.044743633593481
228,65,Самосвалы CAT 785C,100000065606,88686.217,1.0450000524598413
229,65,Самосвалы CAT 785C,100000065606,88674.217,1.0455738436527073
230,65,Самосвалы CAT 785C,100000065606,88662.217,1.0461624565444343
231,65,Самосвалы CAT 785C,100000065606,88650.507,1.0464355788096862
232,65,Самосвалы CAT 785C,100000065606,88639.157,1.046299873075434
233,65,Самосвалы CAT 785C,100000065606,88628.157,1.0457516339869246
234,65,Самосвалы CAT 785C,100000065606,88616.157,1.0463733650416136
235,65,Самосвалы CAT 785C,100000065606,88604.157,1.0470122266230377
236,65,Самосвалы CAT 785C,100000065606,88592.157,1.047668936616026
237,65,Самосвалы CAT 785C,100000065606,88580.157,1.0483442535859713
238,65,Самосвалы CAT 785C,100000065606,88568.157,1.0490389797018107
239,65,Самосвалы CAT 785C,100000065606,88556.907,1.0487982520029095
240,65,Самосвалы CAT 785C,100000065606,88544.907,1.0495195861049482
241,65,Самосвалы CAT 785C,100000065606,88532.907,1.0502625656414066
242,65,Самосвалы CAT 785C,100000065606,88520.907,1.0510281797410472
243,65,Самосвалы CAT 785C,100000065606,88508.907,1.051817478731628
244,65,Самосвалы CAT 785C,100000065606,88496.907,1.0526315789473644
245,65,Самосвалы CAT 785C,100000065606,88484.907,1.0534716679968035
246,65,Самосвалы CAT 785C,100000065606,88473.067,1.054111033028824
247,65,Самосвалы CAT 785C,100000065606,88461.487,1.054394684093482
248,65,Самосвалы CAT 785C,100000065606,88450.287,1.0541286706266313
249,65,Самосвалы CAT 785C,100000065606,88438.917,1.054108046074726
250,65,Самосвалы CAT 785C,100000065606,88288.157,1.0593640212593405
251,65,Самосвалы CAT 785C,100000065606,88276.907,1.0592129459360002
252,65,Самосвалы CAT 785C,100000065606,88265.337,1.0596922383180285
253,65,Самосвалы CAT 785C,100000065606,88253.807,1.0601113885154658
254,65,Самосвалы CAT 785C,100000065606,88242.347,1.0604037389050542
255,65,Самосвалы CAT 785C,100000065606,88230.967,1.0605391073795833
256,65,Самосвалы CAT 785C,100000065606,88221.527,1.056467794111629
257,65,Самосвалы CAT 785C,100000065606,88211.317,1.0539302816754326
258,65,Самосвалы CAT 785C,100000065606,88199.317,1.0553184187383553
259,65,Самосвалы CAT 785C,100000065606,88187.707,1.0558732952045957
260,65,Самосвалы CAT 785C,100000065606,88182.197,1.0421073726869974
261,65,Самосвалы CAT 785C,100000065606,88171.197,1.0408820105457866
262,65,Самосвалы CAT 785C,100000065606,88159.737,1.040714436396902
263,65,Самосвалы CAT 785C,100000065606,88148.237,1.0406378724737078
264,65,Самосвалы CAT 785C,100000065606,88136.237,1.0418475429762368
265,65,Самосвалы CAT 785C,100000065606,88124.787,1.0416666666666852
266,65,Самосвалы CAT 785C,100000065606,88112.787,1.0429835651074781
267,65,Самосвалы CAT 785C,100000065606,88101.407,1.0426282921531278
268,65,Самосвалы CAT 785C,100000065606,88089.407,1.0440639910187959
269,65,Самосвалы CAT 785C,100000065606,88077.407,1.0455997676444873
270,65,Самосвалы CAT 785C,100000065606,88065.407,1.0472464640385102
271,65,Самосвалы CAT 785C,100000065606,88053.407,1.04901654698719
272,65,Самосвалы CAT 785C,100000065606,88041.407,1.0509244242620726
273,65,Самосвалы CAT 785C,100000065606,88029.847,1.0514254903282665
274,65,Самосвалы CAT 785C,100000065606,88017.847,1.0535927512819057
275,65,Самосвалы CAT 785C,100000065606,88007.307,1.0503282275711272
276,65,Самосвалы CAT 785C,100000065606,87995.307,1.0526315789473801
277,65,Самосвалы CAT 785C,100000065606,87983.307,1.0551558752997725
278,65,Самосвалы CAT 785C,100000065606,87971.307,1.0579345088161338
279,65,Самосвалы CAT 785C,100000065606,87959.307,1.0610079575596953
280,65,Самосвалы CAT 785C,100000065606,87947.307,1.0644257703081377
281,65,Самосвалы CAT 785C,100000065606,87935.967,1.064773735581186
282,65,Самосвалы CAT 785C,100000065606,87924.517,1.0657750378767894
283,65,Самосвалы CAT 785C,100000065606,87913.387,1.0650099844686112
284,65,Самосвалы CAT 785C,100000065606,87901.947,1.0660980810234761
285,65,Самосвалы CAT 785C,100000065606,87890.617,1.0665989460986958
286,65,Самосвалы CAT 785C,100000065606,87878.617,1.072091265205179
287,65,Самосвалы CAT 785C,100000065606,87867.247,1.0735052929774909
288,65,Самосвалы CAT 785C,100000065606,87855.787,1.0759700032605763
289,65,Самосвалы CAT 785C,100000065606,87844.217,1.0800108001079953
290,65,Самосвалы CAT 785C,100000065606,87833.227,1.078705553336047
291,65,Самосвалы CAT 785C,100000065606,87821.737,1.083154688029005
292,65,Самосвалы CAT 785C,100000065606,87810.287,1.088364861363146
293,65,Самосвалы CAT 785C,100000065606,87801.097,1.058979261656271
294,65,Самосвалы CAT 785C,100000065606,87791.957,1.0195412064572456
295,65,Самосвалы CAT 785C,100000065606,87779.957,1.0245464247600629
296,65,Самосвалы CAT 785C,100000065606,87767.957,1.0329985652800293
297,65,Самосвалы CAT 785C,100000065606,87756.517,1.0252029047414104
298,65,Самосвалы CAT 785C,100000065606,87744.517,1.0517090271688279
299,65,Самосвалы CAT 785C,100000065606,87733.107,
300,65,Самосвалы CAT 785C,100000065607,86646.466,1.0965062052925245
301,65,Самосвалы CAT 785C,100000065607,86635.036,1.0966320832420262
302,65,Самосвалы CAT 785C,100000065607,86626.696,1.0959567901526666
303,65,Самосвалы CAT 785C,100000065607,86615.196,1.0960999719094717
304,65,Самосвалы CAT 785C,100000065607,86603.996,1.0961657037155434
305,65,Самосвалы CAT 785C,100000065607,86599.006,1.094610448718834
306,65,Самосвалы CAT 785C,100000065607,86593.496,1.0931870408685955
307,65,Самосвалы CAT 785C,100000065607,86582.516,1.0931878045001437
308,65,Самосвалы CAT 785C,100000065607,86571.256,1.0932619580321665
309,65,Самосвалы CAT 785C,100000065607,86560.286,1.0932602954687392
310,65,Самосвалы CAT 785C,100000065607,86548.376,1.093506365769198
311,65,Самосвалы CAT 785C,100000065607,86541.006,1.0925546410146556
312,65,Самосвалы CAT 785C,100000065607,86530.546,1.0924161815115316
313,65,Самосвалы CAT 785C,100000065607,86521.856,1.0918079466149568
314,65,Самосвалы CAT 785C,100000065607,86512.486,1.091377582112299
315,65,Самосвалы CAT 785C,100000065607,86500.486,1.0916450134309377
316,65,Самосвалы CAT 785C,100000065607,86489.176,1.0917297557988324
317,65,Самосвалы CAT 785C,100000065607,86478.096,1.0917533873291836
318,65,Самосвалы CAT 785C,100000065607,86467.986,1.0915168002627478
319,65,Самосвалы CAT 785C,100000065607,86457.375,1.0914137924829965
320,65,Самосвалы CAT 785C,100000065607,86446.615,1.0913504300034345
321,65,Самосвалы CAT 785C,100000065607,86434.675,1.091605912419196
322,65,Самосвалы CAT 785C,100000065607,86423.315,1.0917054990190285
323,65,Самосвалы CAT 785C,100000065607,86414.105,1.0912208294623638
324,65,Самосвалы CAT 785C,100000065607,86404.675,1.090793854695168
325,65,Самосвалы CAT 785C,100000065607,86393.935,1.0907225235453077
326,65,Самосвалы CAT 785C,100000065607,86385.755,1.0899502522015383
327,65,Самосвалы CAT 785C,100000065607,86374.215,1.0900957054708351
328,65,Самосвалы CAT 785C,100000065607,86363.345,1.0900576897892609
329,65,Самосвалы CAT 785C,100000065607,86351.655,1.0902456671718865
330,65,Самосвалы CAT 785C,100000065607,86340.025,1.090418153533211
331,65,Самосвалы CAT 785C,100000065607,86328.135,1.0906638512399678
332,65,Самосвалы CAT 785C,100000065607,86317.725,1.0904989006943981
