Документ измерений,Дата,Момент измерений,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
32889742,2022-05-18,7:30:00,"875303,517",км,100000065629
32889727,2022-05-18,7:30:00,"60880,377",МТЧ,100000065632
32889712,2022-05-18,7:30:00,"826076,196",км,100000065632
32889702,2022-05-18,7:30:00,"62868,678",МТЧ,100000065630
32889688,2022-05-18,7:30:00,"861956,089",км,100000065630
32889666,2022-05-18,7:30:00,"56275,175",МТЧ,100000065628
32889648,2022-05-18,7:30:00,"782653,409",км,100000065628
32889626,2022-05-18,7:30:00,"63870,026",МТЧ,100000065627
32889608,2022-05-18,7:30:00,"883537,584",км,100000065627
32889592,2022-05-18,7:30:00,"62415,445",МТЧ,100000065625
32889584,2022-05-18,7:30:00,"853012,256",км,100000065625
32889561,2022-05-18,7:30:00,"66486,338",МТЧ,100000065623
32889553,2022-05-18,7:30:00,"907275,539",км,100000065623
32889469,2022-05-18,7:30:00,"64830,767",МТЧ,100000065624
32889489,2022-05-18,7:30:00,"897359,777",км,100000065624
32889521,2022-05-18,7:30:00,"65067,510",МТЧ,100000065626
32889513,2022-05-18,7:30:00,"914362,423",км,100000065626
32889497,2022-05-18,7:30:00,"72016,011",МТЧ,100000065643
32889475,2022-05-18,7:30:00,"997330,591",км,100000065643
32889431,2022-05-18,7:30:00,"73796,655",МТЧ,100000065641
32889417,2022-05-18,7:30:00,"997837,622",км,100000065641
32889309,2022-05-18,7:30:00,"73089,510",МТЧ,100000065638
32889386,2022-05-18,7:30:00,"1007989,838",км,100000065638
32889335,2022-05-18,7:30:00,"75024,550",МТЧ,100000065639
32889267,2022-05-18,7:30:00,"1046667,086",км,100000065639
32889313,2022-05-18,7:30:00,"75156,564",МТЧ,100000065637
32889295,2022-05-18,7:30:00,"1051279,135",км,100000065637
32889281,2022-05-18,7:30:00,"73340,560",МТЧ,100000065640
32889189,2022-05-18,7:30:00,"1014454,540",км,100000065640
32889255,2022-05-18,7:30:00,"85173,064",МТЧ,100000065622
32889238,2022-05-18,7:30:00,"1130477,488",км,100000065622
32889196,2022-05-18,7:30:00,"87282,989",МТЧ,100000065620
32889175,2022-05-18,7:30:00,"1174100,062",км,100000065620
32889162,2022-05-18,7:30:00,"82757,718",МТЧ,100000065619
32889147,2022-05-18,7:30:00,"1083108,345",км,100000065619
32889128,2022-05-18,7:30:00,"86066,570",МТЧ,100000065618
32889080,2022-05-18,7:30:00,"1161098,220",км,100000065618
32889101,2022-05-18,7:30:00,"85746,897",МТЧ,100000065617
32889092,2022-05-18,7:30:00,"1137900,038",км,100000065617
32889081,2022-05-18,7:30:00,"89026,652",МТЧ,100000065616
32889053,2022-05-18,7:30:00,"1172617,203",км,100000065616
32889028,2022-05-18,7:30:00,"87577,475",МТЧ,100000065614
32889007,2022-05-18,7:30:00,"1137256,520",км,100000065614
32888989,2022-05-18,7:30:00,"88078,111",МТЧ,100000065613
32888973,2022-05-18,7:30:00,"1183096,997",км,100000065613
32888954,2022-05-18,7:30:00,"89815,388",МТЧ,100000065612
32888940,2022-05-18,7:30:00,"1195577,816",км,100000065612
32888925,2022-05-18,7:30:00,"88045,095",МТЧ,100000065611
32888899,2022-05-18,7:30:00,"1141736,408",км,100000065611
32888863,2022-05-18,7:30:00,"84956,895",МТЧ,100000065609
32888853,2022-05-18,7:30:00,"1177565,125",км,100000065609
32888844,2022-05-18,7:30:00,"86899,233",МТЧ,100000065608
32888828,2022-05-18,7:30:00,"1124224,650",км,100000065608
32888280,2022-05-18,7:30:00,"86626,696",МТЧ,100000065607
32888670,2022-05-18,7:30:00,"1140057,060",км,100000065607
32888758,2022-05-18,7:30:00,"91933,446",МТЧ,100000065606
32888730,2022-05-18,7:30:00,"1220635,578",км,100000065606
32888704,2022-05-18,7:30:00,"54382,947",МТЧ,100000062385
32888679,2022-05-18,7:30:00,"739487,015",км,100000062385
32888656,2022-05-18,7:30:00,"58109,388",МТЧ,100000062387
32888637,2022-05-18,7:30:00,"745116,663",км,100000062387
32888602,2022-05-18,7:30:00,"60923,077",МТЧ,100000062388
32888575,2022-05-18,7:30:00,"787328,431",км,100000062388
32888540,2022-05-18,7:30:00,"58073,540",МТЧ,100000062389
32888548,2022-05-18,7:30:00,"763198,352",км,100000062389
32888523,2022-05-18,7:30:00,"58036,054",МТЧ,100000062386
32888429,2022-05-18,7:30:00,"750313,068",км,100000062386
32888468,2022-05-18,7:30:00,"63827,734",МТЧ,100000062399
32888453,2022-05-18,7:30:00,"801026,101",км,100000062399
32888442,2022-05-18,7:30:00,"62073,552",МТЧ,100000062398
32888417,2022-05-18,7:30:00,"798989,491",км,100000062398
32888398,2022-05-18,7:30:00,"64743,611",МТЧ,100000062397
32888378,2022-05-18,7:30:00,"840791,198",км,100000062397
32888353,2022-05-18,7:30:00,"64461,528",МТЧ,100000062396
32888334,2022-05-18,7:30:00,"819400,714",км,100000062396
32888316,2022-05-18,7:30:00,"64387,055",МТЧ,100000062395
32888297,2022-05-18,7:30:00,"838247,001",км,100000062395
32888281,2022-05-18,7:30:00,"68344,571",МТЧ,100000062390
32888266,2022-05-18,7:30:00,"889873,153",км,100000062390
32888251,2022-05-18,7:30:00,"66576,987",МТЧ,100000062392
32888222,2022-05-18,7:30:00,"847248,540",км,100000062392
32888202,2022-05-18,7:30:00,"61886,420",МТЧ,100000062393
32888191,2022-05-18,7:30:00,"799634,790",км,100000062393
32888174,2022-05-18,7:30:00,"66652,479",МТЧ,100000062391
32888156,2022-05-18,7:30:00,"842242,618",км,100000062391
32888141,2022-05-18,7:30:00,"81852,120",МТЧ,100000062384
32888134,2022-05-18,7:30:00,"1007541,311",км,100000062384
32888107,2022-05-18,7:30:00,"83199,997",МТЧ,100000062383
32888086,2022-05-18,7:30:00,"1061141,103",км,100000062383
32888000,2022-05-18,7:30:00,"82613,272",МТЧ,100000062382
